id;name;first_name;last_name;birth_date;birth_place;gender;party_type
1;Maryland Credit Card Account;Vito;McKenzie;2020-10-22;Cayman Islands Savings Account;FEMALE;ORGANIZATION
2;stable;Adeline;Swaniawski;2020-10-22;e-business protocol pink;FEMALE;ORGANIZATION
3;Profound violet users;David;Morissette;2020-10-22;copy Extended;MALE;PERSON
4;Louisiana Avon;Christian;Luettgen;2020-10-22;Advanced global Refined;FEMALE;PERSON
5;Ergonomic Steel Tuna Persevering Avon;Kallie;Bins;2020-10-22;groupware;OTHER;PERSON
6;interface Investment Account;Boris;Hegmann;2020-10-22;Idaho Shoes;FEMALE;ORGANIZATION
7;3rd generation;Ocie;Schroeder;2020-10-22;withdrawal Industrial Frozen;MALE;PERSON
8;Jordan Russian Ruble;Magnus;Crona;2020-10-22;Personal Loan Account;MALE;PERSON
9;Sleek Buckinghamshire;Asha;Halvorson;2020-10-22;Shoes Investment Account;OTHER;ORGANIZATION
10;Chair Generic;Lela;Abernathy;2020-10-22;National 1080p indigo;FEMALE;ORGANIZATION
